Cost,Name,Star,DPS,Norm DPS,Casts
1,Anivia,1★,36,1.64,4
1,Anivia,2★,51,2.32,4
1,Anivia,3★,74,3.36,4
1,Caitlyn,1★,36,1.64,2
1,Caitlyn,2★,54,2.45,2
1,Caitlyn,3★,83,3.77,2
1,Kog'Maw,1★,22,1.0,4
1,Kog'Maw,2★,32,1.45,4
1,Kog'Maw,3★,49,2.23,4
1,Lulu,1★,27,1.23,2
1,Lulu,2★,41,1.86,2
1,Lulu,3★,61,2.77,2
1,Sona,1★,26,1.18,4
1,Sona,2★,40,1.82,4
1,Sona,3★,61,2.77,4
2,Orianna,1★,28,1.27,3
2,Orianna,2★,42,1.91,3
2,Orianna,3★,71,3.23,3
2,Teemo,1★,45,2.05,5
2,Teemo,2★,70,3.18,5
2,Teemo,3★,119,5.41,5
3,Ahri,1★,51,2.32,5
3,Ahri,2★,77,3.5,5
3,Ahri,3★,134,6.09,5
3,LeBlanc,1★,38,1.73,2
3,LeBlanc,2★,58,2.64,2
3,LeBlanc,3★,99,4.5,2
3,Milio,1★,39,1.77,2
3,Milio,2★,59,2.68,2
3,Milio,3★,92,4.18,2
3,Vayne,1★,54,2.45,5
3,Vayne,2★,81,3.68,5
3,Vayne,3★,130,5.91,5
4,Lissandra,1★,56,2.55,2
4,Lissandra,2★,84,3.82,2
4,Lissandra,3★,359,16.32,2
4,Lux,1★,64,2.91,3
4,Lux,2★,96,4.36,3
4,Lux,3★,334,15.18,3
5,Annie,1★,28,1.27,2
5,Annie,2★,42,1.91,2
5,Annie,3★,150,6.82,2
5,Ziggs,1★,54,2.45,1
5,Ziggs,2★,87,3.95,1
5,Ziggs,3★,740,33.64,1
5,Zilean,1★,99,4.5,4
5,Zilean,2★,143,6.5,4
5,Zilean,3★,112,5.09,4
